"source_file","format","dimensions","file_size_bytes","transparency","pages_used","display_dimensions","fold_context","decorative_or_meaningful","loading","candidate_output_formats","responsive_variants_required","referenced"
"assets/treatments/Treatments11.png","png","1672x941","1808104","false","pt/treatments.html | treatments.html","1672x941","below fold","meaningful","lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/hero/clinic/hero 1.png","png","1672x941","1804728","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","false"
"assets/treatments/Treatments19.png","png","1672x941","1796309","false","pt/treatments.html | treatments.html","1672x941","below fold","meaningful","lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/treatments/Treatments16.png","png","1672x941","1794086","false","pt/treatments.html | treatments.html","1672x941","below fold","meaningful","lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/hero/hero-final/hero 16.png","png","1672x941","1789962","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","false"
"assets/hero/hero-final/hero 17.png","png","1672x941","1787328","false","css/site.css","CSS-dependent","CSS-dependent","decorative unless surrounding content establishes meaning","CSS resource discovery","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/treatments/Treatments31.png","png","1672x941","1782622","false","cookies.html | pt/cookies.html","1672x941","above fold candidate | below fold","meaningful","eager | lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/treatments/Treatments21.png","png","1672x941","1778779","false","blog.html | care.html | consultation.html | index.html | pt/blog.html | pt/care.html | pt/consultation.html | pt/index.html | pt/values.html | values.html","1672x941","above fold candidate | below fold","meaningful","eager | lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/treatments/Treatments26.png","png","1672x941","1778474","false","404.html | about.html | pt/404.html | pt/about.html","1672x941","above fold candidate | below fold","meaningful","eager | lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/photos/portrait80.png","png","1122x1402","1776064","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/treatments/Treatments29.png","png","1672x941","1775389","false","faq.html | pt/faq.html","1672x941","below fold","meaningful","lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/treatments/Treatments3.png","png","1672x941","1775009","false","pt/treatments.html | treatments.html","1672x941","below fold","meaningful","lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/treatments/Treatments27.png","png","1672x941","1767595","false","about.html | contact.html | pt/about.html | pt/contact.html","1672x941","below fold | above fold candidate","meaningful","lazy | eager","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/treatments/Treatments12.png","png","1672x941","1766929","false","pt/treatments.html | treatments.html","1672x941","below fold | above fold candidate","meaningful","lazy | eager","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/hero/clinic/hero 17.png","png","1672x941","1765301","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","false"
"assets/treatments/Treatments15.png","png","1672x941","1763699","false","pt/treatments.html | treatments.html","1672x941","below fold","meaningful","lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/treatments/Treatments13.png","png","1672x941","1762355","false","pt/testimonials.html | pt/treatments.html | testimonials.html | treatments.html","1672x941","below fold","meaningful","lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/hero/hero-final/hero 2.png","png","1672x941","1755291","false","css/site.css","CSS-dependent","CSS-dependent","decorative unless surrounding content establishes meaning","CSS resource discovery","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/hero/hero-final/hero 4.png","png","1672x941","1753648","false","css/site.css","CSS-dependent","CSS-dependent","decorative unless surrounding content establishes meaning","CSS resource discovery","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/hero/hero-final/hero 7.png","png","1672x941","1747273","false","css/site.css","CSS-dependent","CSS-dependent","decorative unless surrounding content establishes meaning","CSS resource discovery","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/hero/clinic/hero 15.png","png","1672x941","1742612","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","false"
"assets/hero/hero-final/hero 18.png","png","1672x941","1739764","false","css/site.css","CSS-dependent","CSS-dependent","decorative unless surrounding content establishes meaning","CSS resource discovery","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/treatments/Treatments18.png","png","1672x941","1738159","false","pt/treatments.html | treatments.html","1672x941","below fold","meaningful","lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/hero/hero-final/hero 5.png","png","1672x941","1737205","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","false"
